AD ID,Contact,For Rent By,URL,Ad Name,Map Link,Date Posted,Unit Type,Bedrooms,Bathrooms,Featured,Rent,Description,Utilities included,Photos,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Appliances,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Amenities,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite
1582824019,https://www.kijiji.ca/o-profile/24797000/listings/1?referral=organic,Professional,https://www.kijiji.ca/v-apartments-condos/richmond-bc/new-2-bedroom-condo-at-concord-garden-richmond-bc/1582824019,"NEW 2 bedroom Condo at Concord Garden (Richmond, BC)","https://www.google.com/maps/search/3300+Ketcheson+Rd,+Richmond,+BC+V6X+0S5,+Canada","August 27, 2021 5:22 PM",Apartment, 2, 2,No,"$2,600","Available Mid-September
This is a 2 bedroom 2 bathroom luxury condo located in Richmond (3300 Ketcheson Road)
About the unit:
1. New south-facing corner unit (886 sf). High floor, unobstructed view.
2. 2 Bedroom / 2 Bathroom, walk-in shower. See photo for floor plan.
3. Direct access to the rooftop garden, which is on the same floor!
4. Unfurnished, include premium appliances and in-suite laundry
5. Include 1 full-sized underground parking stall
6. Walking distance to Skytrain Stations, T&T/OSAKA, Costco, Aberdeen Centre, Foody World, etc
7. 70,000 sq/ft community park with sculpted footpaths, natural features and child’s play area
Diamond Club Amenities:
a. Indoor swimming pool
b. Gym & Yoga rooms
c. Bowling alley
d. Badminton court
e. Basketball court
f. Screening room
g. Games room
h. Rock climbing wall
i. Dance Studio
j. Sauna/Steam room
k. Golf Simulator Room
l. Banquet hall with grand ballroom
m. Rooftop Garden
n. Children’s play area and outdoor lounge deck
o. See photos: https://www.concordgardens.ca/views/en/gallery.html
Looking for responsible tenants
● Monthly $2600 including gas, heating, water, and strata fees. Hydro extra.
● No pets, No smoking, No sublease/short-term rentals
● Furnishing is negotiable
● Credit check required. Minimum one-year lease, longer-term welcome.",Water,Yes,Not Included,1,1 Year,"September 15, 2021",No,886,No,Laundry (In Unit),Yes,Balcony,No,"Gym
Pool
Concierge
24 Hour Security
Bicycle Parking
Elevator in Building",Wheelchair accessible,Yes,No,No
1576987686,https://www.kijiji.ca/o-profile/1012587017/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/1br-on-one-of-top-floors-available-for-rent-in-richmond/1576987686,1Br on one of TOP FLOORS available for rent in Richmond,"https://www.google.com/maps/search/6133+Buswell+St,+Richmond,+BC+V6X+1A6,+Canada","July 19, 2021 1:23 AM",Apartment, 1, 1,No,"$1,685","Prime property in an amazing location available for rent in the heart of Richmond located at the Buswell and Westminster crossroad!
1 bed, bath, living, kitchen, dining rooms
- Unit is located on one of the TOP floors of the building
- East facing (Great natural Sunlight and view)
- Includes Gym/Lounge/Courtyard
- 9 ft. ceilings with a spectacular balcony city view
- Walking distance to everything you need: Richmond Centre Mall, Banks, Restaurants, Richmond Hospital
- Richmond Public Market (Groceries) is a 30 SECOND WALK away and Canada Line Sky Train Station is less than 3 MINUTES walk away
- Includes one covered garage parking and one locker for storage
- LG Granite counter tops
- Washer/dryer located within unit
- No smoking & no pets
Amazing option for Kwantlen Polytechnic University students, very short commute.
Max 2. people allowed
Minimum 1 year lease term
Will require rental/income/employment & other reference checks
Price: $1685/m",Water,Yes,Not Included,1,1 Year,"July 18, 2021",No,630,No,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",No,Balcony,No,"Gym
Bicycle Parking
Storage Space
Elevator in Building",Wheelchair accessible,Yes,No,Yes
1582087393,https://www.kijiji.ca/o-profile/51985770/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/2-bedroom-spacious-basement-for-rent-in-surrey/1582087393,2 bedroom spacious basement for rent in Surrey,"https://www.google.com/maps/search/15773+82A+Ave,+Surrey,+BC+V4N+0R6,+Canada","August 22, 2021 6:05 PM",Basement, 2, 1,No,"$1,300","2 bedroom with separate basement entrance. Spacious living room and open concept kitchen close to 82A Ave and 158 Street. Close to everything bus stops, Elementary and High School, Library, Recreation center, Grocery stores, Transit very near (newton and surrey central is about 10 mins. ride) and Restaurants. Private entry from backyard. Quiet neighborhood.
No smoking or any kind of drugs or illegal activity.
Couple preferred.
Proof of income, credit check and reference of current (previous) landlord required
If interested please reply by answering the questions below in your text:
- your name
- number of occupants (number of adults/children)
- current employment situation of all occupants
- desired move-in date
- anticipated length of stay
$1300/month starting 9/1/2021
Please call 604-838-3018 directly for more information",N/A,Yes,Not Included,1,1 Year,"September 1, 2021",Limited,600,No,Laundry (In Unit),No,Not Included,Outdoors only,N/A,N/A,N/A,N/A,N/A
1583204307,https://www.kijiji.ca/o-profile/1023195129/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/brand-new-2-bedroom-2-bath-ground-level-basement/1583204307,"Brand new 2 bedroom, 2 bath ground level basement","https://www.google.com/maps/search/10511+Bird+Rd,+Richmond,+BC+V6X+1N4,+Canada","August 30, 2021 2:33 AM",Basement, 2, 1,No,"$2,200","Brand new 2 bedroom, 1 bath ground level basement. It is located in a quiet neighborhood, which has shopping and the Vancouver International Airport just a few minutes away.","Hydro
Heat
Water",Yes,Not Included,0,1 Year,"August 30, 2021",No,"1,000",No,Fridge / Freezer,Yes,Yard,No,N/A,N/A,N/A,N/A,N/A
1582439898,https://www.kijiji.ca/o-profile/1023305142/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/unfurnished-2-bed-and-2-baths-over-1000-sq-ft-condo-for-rent/1582439898,Unfurnished 2 bed and 2 baths over 1000 sq ft condo for rent.,"https://www.google.com/maps/search/Jones+Rd,+Richmond,+BC+V6Y,+Canada","August 25, 2021 1:09 AM",Apartment, 2, 2,No,Please Contact,"Unfurnished 2 bed and 2 baths over 1000 sq ft condo for rent.
Delightful South-west corner unit with lots of windows. Facing the beautiful garden and quiet neighbourhood. New dishwasher and washing machine. The floor, kitchen and bathroom have been renovated. Excellent location close to Richmond Centre, restaurants, supermarkets, banks and the transits nearby with walking distance. Walkable to top-ranking school: Palmer Secondary School. Perfect for families, 1 parking space (additional parking space can be rented)
Terms:
- Available on September 5th
- Not including electricity
- Minimum 1-year lease
- No pets
- No smoking
- -No sub-leasing
- Security deposit
- Tenant insurance required
- Tenant pays the Move in/out fee
- Long term and stable tenant with reference is expected.
Brief info about the principal tenant applicant regarding occupation and job history is welcome.
Please contact 778308484 or email athenazeo@gmail.com","Heat
Water",Yes,Not Included,2,1 Year,"September 5, 2021",Limited,"1,025",No,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",No,Balcony,No,"Gym
Bicycle Parking
Elevator in Building",Wheelchair accessible,Yes,No,No
1580587182,https://www.kijiji.ca/o-eve/1001807242/listings/1?referral=organic,Professional,https://www.kijiji.ca/v-apartments-condos/richmond-bc/entire-laneway-house-for-rent-greenwood-and-danforth/1580587182,ENTIRE LANEWAY HOUSE FOR RENT!  GREENWOOD AND DANFORTH,"https://www.google.com/maps/search/622+Greenwood+Ave,+Toronto,+ON+M4J+4B2,+Canada","August 12, 2021 2:04 PM",House, 2, 2,No,"$2,880","Brand new Laneway house at the corner of Greenwood and Danforth. Subway and bus access, all amenities steps away. 2 floors - Ground level can be living room or office or 2nd large bedroom with large washroom. Full kitchen and family room, stacked laundry in unit. Heat and water include. One parking spot or patio area - tenants choice. Amiable landlord and awesome location!
Call or text Eve Orphanou
647.291.5151","Heat
Water",Yes,Not Included,1,1 Year,"September 1, 2021",Limited,900,No,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",Yes,Yard,Outdoors only,N/A,N/A,N/A,N/A,N/A
1581592674,https://www.kijiji.ca/o-profile/1019222674/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/richmond-lansdowne-2-br-apartment-for-rent/1581592674,Richmond Lansdowne 2 BR apartment for rent,"https://www.google.com/maps/search/8160+Lansdowne+Rd,+Richmond,+BC+V6X+0A9,+Canada","August 19, 2021 6:58 AM",Condo, 2, 2,No,"$2,400","10 years old building across from Lansdowne mall, steps away from Skytrain and Kwantlen.
Available: September 1
Bedrooms: 2
Bathrooms: 2
Parking: 1
Storage: 1
Lease term: minimum one year lease
No Pets and No smoking please
Mark Wang - RE/MAX City Realty",Water,Yes,Not Included,1,1 Year,"September 1, 2021",No,"1,009",No,"Laundry (In Unit)
Dishwasher
Fridge / Freezer",No,Balcony,No,"Gym
Bicycle Parking
Storage Space
Elevator in Building",N/A,N/A,N/A,N/A
1582692453,https://www.kijiji.ca/o-redwood-manor/1022517450/listings/1?referral=organic,Professional,https://www.kijiji.ca/v-apartments-condos/richmond-bc/1-bdrm-available-at-101-royal-avenue-new-westminster/1582692453,"1 Bdrm available at 101 Royal Avenue, New Westminster","https://www.google.com/maps/search/101+Royal+Avenue,+New+Westminster,+BC,+V3L+1H1","August 26, 2021 6:42 PM",Apartment, 1, 1,No,"$1,470","Visit our Website: https://www.caprent.com/apartments-for-rent/new-westminster-bc/redwood-manor/
RentalOffice is located at 810 St. Andrews Street.
 
RedwoodManor is a five-storey apartment rental property in New Westminster, BC.  The building is in an excellent location inNew Westminster within the Queen’s Park neighbourhood.  Living at Redwood Manor places you withinonly 800 metres of the SkyTrain with connections to Vancouver or Surrey.  The Royal City Centre Mall is only a 7 minutebus ride providing you with excellent shopping conveniences.  Redwood Manor also provides car drivers witheasy access to the highway.
Stop by today and make RedwoodManor your new home! 
 
What's included in your rent
Water
Have Questions? Contact the Property Manager: 778-402-8584
 
Building Features
The building only has 48 suites with a mix of 1 and 2 bedroom apartments ranging in size from 680 sq. ft. to 950 sq. ft. All suites are bright and spacious and come with stunning hardwood floors, electric kitchens appliances and white cabinets. Even more    fantastic are the views the suites can offer you; unappalled views of the mountain and Fraser River.  4 suites are located on the penthouse levels and provide direct access to the recently renovated roof deck.
Laundry – Shared (onsite)
Roof deck (some units)
Elevator
Microwaves & dishwashers 
Covered parking    
 
Neighbourhood Features
Neighbourhood Features:
The neighbourhood has a Farmers Market in nearby Tipperary Park, churches, an elementary school, and the scenic boardwalk of Westminster Pier Park. Redwood also borders the picturesque Queens Park Heritage neighborhood.
SkyTrain within 800 metres
Royal City Centre Mall only 7 minutes away
Easy access to highway
Queen’s Park closeby with sports and leisurefacilities
Farmers Market
Schools
Westminster Pier Park 
 ",N/A,Yes,Not Included,0,1 Year,"October 1, 2021",No,Not Available,No,Not Included,No,Not Included,No,Not Included,N/A,N/A,N/A,N/A
1581360027,https://www.kijiji.ca/o-profile/1011257109/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/brand-new-unit-furniture-included/1581360027,BRAND NEW unit -furniture included,"https://www.google.com/maps/search/,+Richmond+V6Y+1R7+BC,+Canada","August 17, 2021 6:40 PM",House, 2, 1,No,"$1,900","please text message for quicker response
-Private and quiet second floor unit with 9 foot ceilings
-Two Bedroom One Bathroom facing massive backyard garden
-Brand new appliances including dishwasher , elegant countertops, Hansgrohe and Grohe plumbing fixtures
-Quality finishings throughout and exquisite crown mouldings
-Tile flooring, in floor radiant heating, closet organizers, and Hunter Douglas blinds
-Spacious living area
-Brand new washer and dryer
-Catchment for Kingswood Elementary School and McNair Secondary
-5-10 minutes drive to Richmond Centre, Landsdowne, shops, restaurants, T&T, and Kwantlen Polytech University.
-Furniture included (same price if no furniture)
-Minimum one year lease
-Tenant pays 10% of gas
-Tenant opens own hydro account
-No pets, no smoking or vaping
-Reference and credit check are required
-Square footage is an estimation
-Available Now
Contact Property Manager at:
Janet Lu
778-882-7727
Green Team Realty",N/A,Yes,Not Included,0,1 Year,"August 17, 2021",No,800,Yes,Laundry (In Building),No,Not Included,No,N/A,N/A,N/A,N/A,N/A
1579482496,https://www.kijiji.ca/o-profile/1008029864/listings/1,Owner,https://www.kijiji.ca/v-apartments-condos/richmond-bc/8900-citation-dr-richmond/1579482496,8900 Citation Dr. Richmond,"https://www.google.com/maps/search/V6Y3A3,+Canada","August 11, 2021 6:53 PM",Apartment, 1, 1,No,"$1,450","FEATURES: Appox 650sq ft.
- One bedroom one bath with full kitchen.
- Fully equipped kitchen.
- Bright south North facing balcony.
- Laundry: common W/D in the building.
- 1 Cover parking, club house incl: swimming pool court.
- Close to Richmond Center, transit, supermarkets
CONVENIENCES:
- 2 mins walk to bus stop
- 10 mins walk to Richmond Centre/Canada Line
Perfect for students, young professionals, couples.
Unfurnished/can be lightly furnished.
No pets, no smoking.
Water, and sewage included.
Tenant is responsible for BChydro, cable, and internet.
Tenant must purchase Tenant Home Insurance.
Available for rent Aug.15
Please email us your name and phone #.",Water,Yes,Not Included,1,Month-to-month,"August 15, 2021",No,650,No,"Laundry (In Building)
Dishwasher
Fridge / Freezer",No,Balcony,Outdoors only,"Pool
Concierge
Elevator in Building",N/A,N/A,N/A,N/A
